item_id,variant,method,gold_count,exact_set,set_precision,set_recall,set_f1,confidence,brier_exact,nll_exact,prediction,gold
0,original,nli_pool_topk,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,3 559 people,3 559 people
0,original,dst_nli_global_top1,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,3 559 people,3 559 people
0,original,dst_nli_global_topk,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,3 559 people,3 559 people
0,original,dst_nli_factorized_provenance,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,3 559 people,3 559 people
0,original,dsmt_nli_pcr6_provenance,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,3 559 people,3 559 people
0,duplicate_misinfo_x3,nli_pool_topk,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,3 559 people,3 559 people
0,duplicate_misinfo_x3,dst_nli_global_top1,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,3 559 people,3 559 people
0,duplicate_misinfo_x3,dst_nli_global_topk,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,3 559 people,3 559 people
0,duplicate_misinfo_x3,dst_nli_factorized_provenance,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,3 559 people,3 559 people
0,duplicate_misinfo_x3,dsmt_nli_pcr6_provenance,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,3 559 people,3 559 people
0,misinfo_dominant,nli_pool_topk,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,3 559 people,3 559 people
0,misinfo_dominant,dst_nli_global_top1,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,3 559 people,3 559 people
0,misinfo_dominant,dst_nli_global_topk,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,3 559 people,3 559 people
0,misinfo_dominant,dst_nli_factorized_provenance,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,3 559 people,3 559 people
0,misinfo_dominant,dsmt_nli_pcr6_provenance,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,3 559 people,3 559 people
1,original,nli_pool_topk,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,american football,american football
1,original,dst_nli_global_top1,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,american football,american football
1,original,dst_nli_global_topk,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,american football,american football
1,original,dst_nli_factorized_provenance,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,american football,american football
1,original,dsmt_nli_pcr6_provenance,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,american football,american football
1,duplicate_misinfo_x3,nli_pool_topk,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,american football,american football
1,duplicate_misinfo_x3,dst_nli_global_top1,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,american football,american football
1,duplicate_misinfo_x3,dst_nli_global_topk,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,american football,american football
1,duplicate_misinfo_x3,dst_nli_factorized_provenance,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,american football,american football
1,duplicate_misinfo_x3,dsmt_nli_pcr6_provenance,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,american football,american football
1,misinfo_dominant,nli_pool_topk,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,american football,american football
1,misinfo_dominant,dst_nli_global_top1,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,american football,american football
1,misinfo_dominant,dst_nli_global_topk,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,american football,american football
1,misinfo_dominant,dst_nli_factorized_provenance,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,american football,american football
1,misinfo_dominant,dsmt_nli_pcr6_provenance,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,american football,american football
2,original,nli_pool_topk,1,1.0,1.0,1.0,1.0,0.7646433932365304,0.05539273234721446,0.26834570647050227,mahesh bhatt,mahesh bhatt
2,original,dst_nli_global_top1,1,1.0,1.0,1.0,1.0,0.64091238738286,0.12894391353507717,0.44486251255317094,mahesh bhatt,mahesh bhatt
2,original,dst_nli_global_topk,1,1.0,1.0,1.0,1.0,0.64091238738286,0.12894391353507717,0.44486251255317094,mahesh bhatt,mahesh bhatt
2,original,dst_nli_factorized_provenance,1,1.0,1.0,1.0,1.0,0.64091238738286,0.12894391353507717,0.44486251255317094,mahesh bhatt,mahesh bhatt
2,original,dsmt_nli_pcr6_provenance,1,1.0,1.0,1.0,1.0,0.633451045912113,0.1343581357429239,0.45657255779941613,mahesh bhatt,mahesh bhatt
2,duplicate_misinfo_x3,nli_pool_topk,1,1.0,1.0,1.0,1.0,0.5199133224640226,0.2304832179475336,0.6540931688697682,mahesh bhatt,mahesh bhatt
2,duplicate_misinfo_x3,dst_nli_global_top1,1,1.0,1.0,1.0,1.0,0.5225512322576294,0.2279573258187081,0.6490322477822587,mahesh bhatt,mahesh bhatt
2,duplicate_misinfo_x3,dst_nli_global_topk,1,1.0,1.0,1.0,1.0,0.5225512322576294,0.2279573258187081,0.6490322477822587,mahesh bhatt,mahesh bhatt
2,duplicate_misinfo_x3,dst_nli_factorized_provenance,1,1.0,1.0,1.0,1.0,0.64091238738286,0.12894391353507717,0.44486251255317094,mahesh bhatt,mahesh bhatt
2,duplicate_misinfo_x3,dsmt_nli_pcr6_provenance,1,1.0,1.0,1.0,1.0,0.633451045912113,0.1343581357429239,0.45657255779941613,mahesh bhatt,mahesh bhatt
2,misinfo_dominant,nli_pool_topk,1,0.0,0.0,0.0,0.0,0.6342853837801682,0.40231794807715526,1.005901986838148,raj kapoor,mahesh bhatt
2,misinfo_dominant,dst_nli_global_top1,1,0.0,0.0,0.0,0.0,0.5570688228232027,0.3103256733616288,0.8143408772660864,raj kapoor,mahesh bhatt
2,misinfo_dominant,dst_nli_global_topk,1,0.0,0.0,0.0,0.0,0.5570688228232027,0.3103256733616288,0.8143408772660864,raj kapoor,mahesh bhatt
2,misinfo_dominant,dst_nli_factorized_provenance,1,1.0,1.0,1.0,1.0,0.5265283130218567,0.22417543836992895,0.6414501729340242,mahesh bhatt,mahesh bhatt
2,misinfo_dominant,dsmt_nli_pcr6_provenance,1,1.0,1.0,1.0,1.0,0.5261658747984668,0.22451877820550226,0.6421387646293225,mahesh bhatt,mahesh bhatt
3,original,nli_pool_topk,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,afl,afl
3,original,dst_nli_global_top1,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,afl,afl
3,original,dst_nli_global_topk,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,afl,afl
3,original,dst_nli_factorized_provenance,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,afl,afl
3,original,dsmt_nli_pcr6_provenance,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,afl,afl
3,duplicate_misinfo_x3,nli_pool_topk,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,afl,afl
3,duplicate_misinfo_x3,dst_nli_global_top1,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,afl,afl
3,duplicate_misinfo_x3,dst_nli_global_topk,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,afl,afl
3,duplicate_misinfo_x3,dst_nli_factorized_provenance,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,afl,afl
3,duplicate_misinfo_x3,dsmt_nli_pcr6_provenance,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,afl,afl
3,misinfo_dominant,nli_pool_topk,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,afl,afl
3,misinfo_dominant,dst_nli_global_top1,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,afl,afl
3,misinfo_dominant,dst_nli_global_topk,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,afl,afl
3,misinfo_dominant,dst_nli_factorized_provenance,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,afl,afl
3,misinfo_dominant,dsmt_nli_pcr6_provenance,1,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,afl,afl
4,original,nli_pool_topk,1,1.0,1.0,1.0,1.0,0.8936677226103413,0.011306553214871316,0.11242124782937418,1856,1856
4,original,dst_nli_global_top1,1,1.0,1.0,1.0,1.0,0.9046310727514475,0.0090952322845397,0.1002280728141519,1856,1856
4,original,dst_nli_global_topk,1,1.0,1.0,1.0,1.0,0.9046310727514475,0.0090952322845397,0.1002280728141519,1856,1856
4,original,dst_nli_factorized_provenance,1,1.0,1.0,1.0,1.0,0.9046310727514475,0.0090952322845397,0.1002280728141519,1856,1856
4,original,dsmt_nli_pcr6_provenance,1,1.0,1.0,1.0,1.0,0.8894469156854322,0.012221984451463934,0.1171554524817959,1856,1856
4,duplicate_misinfo_x3,nli_pool_topk,1,1.0,1.0,1.0,1.0,0.7707364755427345,0.05256176364656718,0.2604087595086761,1856,1856
4,duplicate_misinfo_x3,dst_nli_global_top1,1,1.0,1.0,1.0,1.0,0.8792125057773275,0.014589618760592152,0.12872865195233993,1856,1856
4,duplicate_misinfo_x3,dst_nli_global_topk,1,1.0,1.0,1.0,1.0,0.8792125057773275,0.014589618760592152,0.12872865195233993,1856,1856
4,duplicate_misinfo_x3,dst_nli_factorized_provenance,1,1.0,1.0,1.0,1.0,0.9046310727514475,0.0090952322845397,0.1002280728141519,1856,1856
4,duplicate_misinfo_x3,dsmt_nli_pcr6_provenance,1,1.0,1.0,1.0,1.0,0.8894469156854322,0.012221984451463934,0.1171554524817959,1856,1856
4,misinfo_dominant,nli_pool_topk,1,1.0,1.0,1.0,1.0,0.8077751511678843,0.03695039250852972,0.21347153744518954,1856,1856
4,misinfo_dominant,dst_nli_global_top1,1,1.0,1.0,1.0,1.0,0.8879592605237273,0.01255312730239001,0.11882941483098029,1856,1856
