item_id,rule,eligible,applicability,candidate_count,source_count,gold_count,exact_set,set_precision,set_recall,set_f1,brier,nonspecificity,prediction,gold
2,dempster,True,False,2,6,1,1.0,1.0,1.0,1.0,0.2621769462300122,0.596960744918398,mahesh bhatt,mahesh bhatt
2,pcr6,True,False,2,6,1,1.0,1.0,1.0,1.0,0.2684263004520587,0.6090109184899664,mahesh bhatt,mahesh bhatt
2,pcr6_plus,True,False,2,6,1,1.0,1.0,1.0,1.0,0.25700116530408124,0.5761307444351175,mahesh bhatt,mahesh bhatt
4,dempster,True,False,2,3,1,1.0,1.0,1.0,1.0,0.19186392818844142,0.5550830746267857,1856,1856
4,pcr6,True,False,2,3,1,1.0,1.0,1.0,1.0,0.19326370472954138,0.5578195838635671,1856,1856
4,pcr6_plus,True,False,2,3,1,1.0,1.0,1.0,1.0,0.18485291202227366,0.5421089223560653,1856,1856
6,dempster,True,True,3,5,1,0.0,0.0,0.0,0.0,1.4594793466436642,0.7118709704314711,1850,1902
6,pcr6,True,True,3,5,1,0.0,0.0,0.0,0.0,1.435448342871695,0.7345751433750207,1850,1902
6,pcr6_plus,True,True,3,5,1,0.0,0.0,0.0,0.0,1.4542268192200511,0.7027109600256809,1850,1902
8,dempster,True,False,2,2,1,0.0,0.0,0.0,0.0,1.7010326958020485,0.15553113563711882,july 15 1905,february 8 1900
8,pcr6,True,False,2,2,1,0.0,0.0,0.0,0.0,1.7010326958020485,0.15553113563711882,july 15 1905,february 8 1900
8,pcr6_plus,True,False,2,2,1,0.0,0.0,0.0,0.0,1.7010326958020485,0.15553113563711882,july 15 1905,february 8 1900
9,dempster,True,False,2,4,1,1.0,1.0,1.0,1.0,0.056668393751098216,0.034685708703187566,4 411,4 411
9,pcr6,True,False,2,4,1,1.0,1.0,1.0,1.0,0.2713107851994493,0.27157076470170244,4 411,4 411
9,pcr6_plus,True,False,2,4,1,1.0,1.0,1.0,1.0,0.23692028453284014,0.007632077378919185,4 411,4 411
12,dempster,True,False,2,6,1,1.0,1.0,1.0,1.0,0.44094548210544354,0.8645903684421786,blitzen trapper,blitzen trapper
12,pcr6,True,False,2,6,1,1.0,1.0,1.0,1.0,0.4411868340106678,0.8650938618247977,blitzen trapper,blitzen trapper
12,pcr6_plus,True,False,2,6,1,1.0,1.0,1.0,1.0,0.44116404778768337,0.8609493166273985,blitzen trapper,blitzen trapper
13,dempster,True,False,2,4,1,0.0,0.0,0.0,0.0,1.6394524085698747,0.1746608190132765,the beatles,carpenters
13,pcr6,True,False,2,4,1,0.0,0.0,0.0,0.0,1.6079997804469581,0.19178110074601698,the beatles,carpenters
13,pcr6_plus,True,False,2,4,1,0.0,0.0,0.0,0.0,1.6456531142482522,0.16889999891481905,the beatles,carpenters
14,dempster,True,False,2,3,1,1.0,1.0,1.0,1.0,0.37980567546161403,0.8715568546705534,needtobreathe,needtobreathe
14,pcr6,True,False,2,3,1,1.0,1.0,1.0,1.0,0.37980567546161403,0.8715568546705534,needtobreathe,needtobreathe
14,pcr6_plus,True,False,2,3,1,1.0,1.0,1.0,1.0,0.37980567546161403,0.8715568546705534,needtobreathe,needtobreathe
15,dempster,True,False,2,6,1,1.0,1.0,1.0,1.0,0.0001105103102884257,0.013888383807649477,football,football
15,pcr6,True,False,2,6,1,1.0,1.0,1.0,1.0,0.0006559762042448755,0.03496841568237115,football,football
15,pcr6_plus,True,False,2,6,1,1.0,1.0,1.0,1.0,0.00011714477927988434,0.01342240507153619,football,football
